"zip","lat","lng","city","state_id","state_name","zcta","parent_zcta","population","density","county_fips","county_name","county_weights","county_names_all","county_fips_all","imprecise","military","timezone"
"00638","18.28905","-66.5151","Ciales","PR","Puerto Rico","TRUE","","16412","95.9","72039","Ciales","{""72039"": ""98.27"", ""72091"": ""1.73""}","Ciales|Manatí","72039|72091","FALSE","FALSE","America/Puerto_Rico"
"00641","18.26408","-66.71376","Utuado","PR","Puerto Rico","TRUE","","26712","110.3","72141","Utuado","{""72141"": ""99.79"", ""72001"": ""0.21""}","Utuado|Adjuntas","72141|72001","FALSE","FALSE","America/Puerto_Rico"
"00646","18.43401","-66.2833","Dorado","PR","Puerto Rico","TRUE","","37095","691.0","72051","Dorado","{""72051"": ""99.89"", ""72143"": ""0.11""}","Dorado|Vega Alta","72051|72143","FALSE","FALSE","America/Puerto_Rico"
"00647","17.96612","-66.94383","Ensenada","PR","Puerto Rico","TRUE","","5809","147.5","72055","Guánica","{""72055"": ""98.88"", ""72079"": ""1.12""}","Guánica|Lajas","72055|72079","FALSE","FALSE","America/Puerto_Rico"
"00650","18.34321","-66.58601","Florida","PR","Puerto Rico","TRUE","","14534","183.9","72054","Florida","{""72054"": ""83.61"", ""72141"": ""11.84"", ""72017"": ""1.91"", ""72013"": ""1.51"", ""72039"": ""1.13""}","Florida|Utuado|Barceloneta|Arecibo|Ciales","72054|72141|72017|72013|72039","FALSE","FALSE","America/Puerto_Rico"
"00652","18.45542","-66.60635","Garrochales","PR","Puerto Rico","TRUE","","3565","199.0","72013","Arecibo","{""72013"": ""100""}","Arecibo","72013","FALSE","FALSE","America/Puerto_Rico"
"00653","17.98572","-66.89031","Guanica","PR","Puerto Rico","TRUE","","10484","265.6","72055","Guánica","{""72055"": ""100""}","Guánica","72055","FALSE","FALSE","America/Puerto_Rico"
"00656","18.05281","-66.79182","Guayanilla","PR","Puerto Rico","TRUE","","18485","220.2","72059","Guayanilla","{""72059"": ""100""}","Guayanilla","72059","FALSE","FALSE","America/Puerto_Rico"
"00659","18.41069","-66.79648","Hatillo","PR","Puerto Rico","TRUE","","39950","369.2","72065","Hatillo","{""72065"": ""100""}","Hatillo","72065","FALSE","FALSE","America/Puerto_Rico"
"00660","18.13419","-67.11403","Hormigueros","PR","Puerto Rico","TRUE","","15943","542.6","72067","Hormigueros","{""72067"": ""100""}","Hormigueros","72067","FALSE","FALSE","America/Puerto_Rico"
"00662","18.46208","-67.01444","Isabela","PR","Puerto Rico","TRUE","","39700","345.4","72071","Isabela","{""72071"": ""100""}","Isabela","72071","FALSE","FALSE","America/Puerto_Rico"
"00664","18.21151","-66.5889","Jayuya","PR","Puerto Rico","TRUE","","14693","124.6","72073","Jayuya","{""72073"": ""99.15"", ""72141"": ""0.85""}","Jayuya|Utuado","72073|72141","FALSE","FALSE","America/Puerto_Rico"
"00667","18.01227","-67.0409","Lajas","PR","Puerto Rico","TRUE","","23186","148.4","72079","Lajas","{""72079"": ""98.91"", ""72125"": ""1.09""}","Lajas|San Germán","72079|72125","FALSE","FALSE","America/Puerto_Rico"
"00669","18.27102","-66.86982","Lares","PR","Puerto Rico","TRUE","","24803","155.6","72081","Lares","{""72081"": ""99.22"", ""72083"": ""0.62"", ""72131"": ""0.16""}","Lares|Las Marías|San Sebastián","72081|72083|72131","FALSE","FALSE","America/Puerto_Rico"
"00670","18.23776","-66.98875","Las Marias","PR","Puerto Rico","TRUE","","8364","70.9","72083","Las Marías","{""72083"": ""98.88"", ""72011"": ""1.12""}","Las Marías|Añasco","72083|72011","FALSE","FALSE","America/Puerto_Rico"
"00674","18.42123","-66.49003","Manati","PR","Puerto Rico","TRUE","","38971","334.7","72091","Manatí","{""72091"": ""98.49"", ""72145"": ""1.51""}","Manatí|Vega Baja","72091|72145","FALSE","FALSE","America/Puerto_Rico"
"00676","18.37789","-67.08084","Moca","PR","Puerto Rico","TRUE","","36299","277.9","72099","Moca","{""72099"": ""99.49"", ""72003"": ""0.51""}","Moca|Aguada","72099|72003","FALSE","FALSE","America/Puerto_Rico"
"00677","18.3357","-67.23168","Rincon","PR","Puerto Rico","TRUE","","14093","379.5","72117","Rincón","{""72117"": ""99.53"", ""72003"": ""0.47""}","Rincón|Aguada","72117|72003","FALSE","FALSE","America/Puerto_Rico"
"00678","18.4327","-66.92813","Quebradillas","PR","Puerto Rico","TRUE","","25624","375.3","72115","Quebradillas","{""72115"": ""93.17"", ""72071"": ""5.36"", ""72131"": ""1.47""}","Quebradillas|Isabela|San Sebastián","72115|72071|72131","FALSE","FALSE","America/Puerto_Rico"
"00680","18.16328","-67.36192","Mayaguez","PR","Puerto Rico","TRUE","","45190","271.7","72097","Mayagüez","{""72097"": ""97.01"", ""72125"": ""2.53"", ""72011"": ""0.46""}","Mayagüez|San Germán|Añasco","72097|72125|72011","FALSE","FALSE","America/Puerto_Rico"
"00682","18.22118","-67.15381","Mayaguez","PR","Puerto Rico","TRUE","","31735","850.7","72097","Mayagüez","{""72097"": ""100""}","Mayagüez","72097","FALSE","FALSE","America/Puerto_Rico"
"00683","18.10998","-67.0373","San German","PR","Puerto Rico","TRUE","","29487","218.2","72125","San Germán","{""72125"": ""100""}","San Germán","72125","FALSE","FALSE","America/Puerto_Rico"
"00685","18.33625","-66.97225","San Sebastian","PR","Puerto Rico","TRUE","","37058","184.5","72131","San Sebastián","{""72131"": ""98"", ""72071"": ""2""}","San Sebastián|Isabela","72131|72071","FALSE","FALSE","America/Puerto_Rico"
"00687","18.31708","-66.4203","Morovis","PR","Puerto Rico","TRUE","","30962","307.5","72101","Morovis","{""72101"": ""100""}","Morovis","72101","FALSE","FALSE","America/Puerto_Rico"
"00688","18.38056","-66.62425","Sabana Hoyos","PR","Puerto Rico","TRUE","","12139","147.3","72013","Arecibo","{""72013"": ""100""}","Arecibo","72013","FALSE","FALSE","America/Puerto_Rico"
"00690","18.49563","-67.09822","San Antonio","PR","Puerto Rico","TRUE","","5722","784.6","72005","Aguadilla","{""72005"": ""100""}","Aguadilla","72005","FALSE","FALSE","America/Puerto_Rico"
"00692","18.40845","-66.33691","Vega Alta","PR","Puerto Rico","TRUE","","35135","506.9","72143","Vega Alta","{""72143"": ""100""}","Vega Alta","72143","FALSE","FALSE","America/Puerto_Rico"
"00693","18.42132","-66.40012","Vega Baja","PR","Puerto Rico","TRUE","","53360","524.1","72145","Vega Baja","{""72145"": ""96.07"", ""72143"": ""3.93""}","Vega Baja|Vega Alta","72145|72143","FALSE","FALSE","America/Puerto_Rico"
"00694","18.48329","-66.39261","Vega Baja","PR","Puerto Rico","TRUE","","64","30.9","72145","Vega Baja","{""72145"": ""100""}","Vega Baja","72145","FALSE","FALSE","America/Puerto_Rico"
"00698","18.06727","-66.85273","Yauco","PR","Puerto Rico","TRUE","","35317","195.9","72153","Yauco","{""72153"": ""99.76"", ""72059"": ""0.24""}","Yauco|Guayanilla","72153|72059","FALSE","FALSE","America/Puerto_Rico"
"00703","18.24843","-66.13117","Aguas Buenas","PR","Puerto Rico","TRUE","","26097","339.6","72007","Aguas Buenas","{""72007"": ""95.47"", ""72045"": ""4.53""}","Aguas Buenas|Comerío","72007|72045","FALSE","FALSE","America/Puerto_Rico"
"00704","17.96719","-66.22013","Aguirre","PR","Puerto Rico","TRUE","","8108","641.9","72123","Salinas","{""72123"": ""92.28"", ""72057"": ""7.72""}","Salinas|Guayama","72123|72057","FALSE","FALSE","America/Puerto_Rico"
"00705","18.12946","-66.26477","Aibonito","PR","Puerto Rico","TRUE","","22662","273.9","72009","Aibonito","{""72009"": ""99.79"", ""72043"": ""0.21""}","Aibonito|Coamo","72009|72043","FALSE","FALSE","America/Puerto_Rico"
"00707","18.01813","-65.922","Maunabo","PR","Puerto Rico","TRUE","","10721","196.5","72095","Maunabo","{""72095"": ""100""}","Maunabo","72095","FALSE","FALSE","America/Puerto_Rico"
"00714","17.99854","-66.05606","Arroyo","PR","Puerto Rico","TRUE","","17739","468.5","72015","Arroyo","{""72015"": ""100""}","Arroyo","72015","FALSE","FALSE","America/Puerto_Rico"
"00715","18.01174","-66.55987","Mercedita","PR","Puerto Rico","TRUE","","2818","138.3","72113","Ponce","{""72113"": ""74.26"", ""72075"": ""25.74""}","Ponce|Juana Díaz","72113|72075","FALSE","FALSE","America/Puerto_Rico"
"00716","17.99942","-66.60014","Ponce","PR","Puerto Rico","TRUE","","27513","1240.8","72113","Ponce","{""72113"": ""100""}","Ponce","72113","FALSE","FALSE","America/Puerto_Rico"
"00717","18.00342","-66.61325","Ponce","PR","Puerto Rico","TRUE","","16086","2955.1","72113","Ponce","{""72113"": ""100""}","Ponce","72113","FALSE","FALSE","America/Puerto_Rico"
"00718","18.2333","-65.7611","Naguabo","PR","Puerto Rico","TRUE","","25430","217.0","72103","Naguabo","{""72103"": ""100""}","Naguabo","72103","FALSE","FALSE","America/Puerto_Rico"
"00719","18.2888","-66.25336","Naranjito","PR","Puerto Rico","TRUE","","28556","393.7","72105","Naranjito","{""72105"": ""98.1"", ""72047"": ""1.42"", ""72135"": ""0.48""}","Naranjito|Corozal|Toa Alta","72105|72047|72135","FALSE","FALSE","America/Puerto_Rico"
"00720","18.21772","-66.42816","Orocovis","PR","Puerto Rico","TRUE","","20758","134.5","72107","Orocovis","{""72107"": ""99.48"", ""72043"": ""0.52""}","Orocovis|Coamo","72107|72043","FALSE","FALSE","America/Puerto_Rico"
"00723","18.03237","-66.01233","Patillas","PR","Puerto Rico","TRUE","","16984","142.1","72109","Patillas","{""72109"": ""100""}","Patillas","72109","FALSE","FALSE","America/Puerto_Rico"
"00725","18.21857","-66.04275","Caguas","PR","Puerto Rico","TRUE","","80537","736.5","72025","Caguas","{""72025"": ""94.56"", ""72061"": ""2.76"", ""72007"": ""1.51"", ""72127"": ""0.6"", ""72035"": ""0.43"", ""72129"": ""0.14""}","Caguas|Guaynabo|Aguas Buenas|San Juan|Cayey|San Lorenzo","72025|72061|72007|72127|72035|72129","FALSE","FALSE","America/Puerto_Rico"
"00727","18.21496","-66.07356","Caguas","PR","Puerto Rico","TRUE","","52743","947.3","72025","Caguas","{""72025"": ""100""}","Caguas","72025","FALSE","FALSE","America/Puerto_Rico"
"00728","18.00627","-66.6612","Ponce","PR","Puerto Rico","TRUE","","39083","964.4","72113","Ponce","{""72113"": ""100""}","Ponce","72113","FALSE","FALSE","America/Puerto_Rico"
"00729","18.33113","-65.88722","Canovanas","PR","Puerto Rico","TRUE","","51015","580.0","72029","Canóvanas","{""72029"": ""87.09"", ""72087"": ""12.91""}","Canóvanas|Loíza","72029|72087","FALSE","FALSE","America/Puerto_Rico"
"00730","18.03091","-66.61659","Ponce","PR","Puerto Rico","TRUE","","30175","1788.3","72113","Ponce","{""72113"": ""100""}","Ponce","72113","FALSE","FALSE","America/Puerto_Rico"
"00731","18.09776","-66.63356","Ponce","PR","Puerto Rico","TRUE","","12657","102.4","72113","Ponce","{""72113"": ""97.8"", ""72001"": ""2.2""}","Ponce|Adjuntas","72113|72001","FALSE","FALSE","America/Puerto_Rico"
"00735","18.25365","-65.68306","Ceiba","PR","Puerto Rico","TRUE","","12159","201.4","72037","Ceiba","{""72037"": ""99.18"", ""72103"": ""0.82""}","Ceiba|Naguabo","72037|72103","FALSE","FALSE","America/Puerto_Rico"
"00736","18.10652","-66.15258","Cayey","PR","Puerto Rico","TRUE","","46085","322.9","72035","Cayey","{""72035"": ""92.62"", ""72041"": ""7.38""}","Cayey|Cidra","72035|72041","FALSE","FALSE","America/Puerto_Rico"
"00738","18.31828","-65.66785","Fajardo","PR","Puerto Rico","TRUE","","29196","382.4","72053","Fajardo","{""72053"": ""100""}","Fajardo","72053","FALSE","FALSE","America/Puerto_Rico"
"00739","18.17681","-66.16055","Cidra","PR","Puerto Rico","TRUE","","36734","449.1","72041","Cidra","{""72041"": ""100""}","Cidra","72041","FALSE","FALSE","America/Puerto_Rico"
"00740","18.3322","-65.63429","Puerto Real","PR","Puerto Rico","TRUE","","1915","1735.5","72053","Fajardo","{""72053"": ""100""}","Fajardo","72053","FALSE","FALSE","America/Puerto_Rico"
"00741","18.16564","-65.75563","Punta Santiago","PR","Puerto Rico","TRUE","","4074","665.5","72069","Humacao","{""72069"": ""100""}","Humacao","72069","FALSE","FALSE","America/Puerto_Rico"
"00745","18.34827","-65.8172","Rio Grande","PR","Puerto Rico","TRUE","","50435","377.3","72119","Río Grande","{""72119"": ""98.6"", ""72029"": ""1.4""}","Río Grande|Canóvanas","72119|72029","FALSE","FALSE","America/Puerto_Rico"
"00751","18.01021","-66.24751","Salinas","PR","Puerto Rico","TRUE","","20677","169.9","72123","Salinas","{""72123"": ""100""}","Salinas","72123","FALSE","FALSE","America/Puerto_Rico"
"00754","18.1457","-65.97606","San Lorenzo","PR","Puerto Rico","TRUE","","36893","279.1","72129","San Lorenzo","{""72129"": ""100""}","San Lorenzo","72129","FALSE","FALSE","America/Puerto_Rico"
"00757","17.99728","-66.38891","Santa Isabel","PR","Puerto Rico","TRUE","","21757","281.6","72133","Santa Isabel","{""72133"": ""100""}","Santa Isabel","72133","FALSE","FALSE","America/Puerto_Rico"
"00765","18.12852","-65.44088","Vieques","PR","Puerto Rico","TRUE","","8523","172.8","72147","Vieques","{""72147"": ""100""}","Vieques","72147","FALSE","FALSE","America/Puerto_Rico"
"00766","18.13299","-66.47703","Villalba","PR","Puerto Rico","TRUE","","22687","218.8","72149","Villalba","{""72149"": ""98.43"", ""72107"": ""1.57""}","Villalba|Orocovis","72149|72107","FALSE","FALSE","America/Puerto_Rico"
"00767","18.07052","-65.89606","Yabucoa","PR","Puerto Rico","TRUE","","33499","233.4","72151","Yabucoa","{""72151"": ""99.79"", ""72069"": ""0.21""}","Yabucoa|Humacao","72151|72069","FALSE","FALSE","America/Puerto_Rico"
"00769","18.097","-66.36102","Coamo","PR","Puerto Rico","TRUE","","38812","195.9","72043","Coamo","{""72043"": ""100""}","Coamo","72043","FALSE","FALSE","America/Puerto_Rico"
"00771","18.18746","-65.86932","Las Piedras","PR","Puerto Rico","TRUE","","36906","421.3","72085","Las Piedras","{""72085"": ""100""}","Las Piedras","72085","FALSE","FALSE","America/Puerto_Rico"
"00772","18.43267","-65.90836","Loiza","PR","Puerto Rico","TRUE","","19529","514.4","72087","Loíza","{""72087"": ""100""}","Loíza","72087","FALSE","FALSE","America/Puerto_Rico"
"00773","18.34174","-65.7274","Luquillo","PR","Puerto Rico","TRUE","","18224","289.4","72089","Luquillo","{""72089"": ""100""}","Luquillo","72089","FALSE","FALSE","America/Puerto_Rico"
"00775","18.31347","-65.29017","Culebra","PR","Puerto Rico","TRUE","","1299","47.5","72049","Culebra","{""72049"": ""100""}","Culebra","72049","FALSE","FALSE","America/Puerto_Rico"
"00777","18.22357","-65.90881","Juncos","PR","Puerto Rico","TRUE","","39609","575.3","72077","Juncos","{""72077"": ""99.03"", ""72085"": ""0.69"", ""72029"": ""0.16"", ""72063"": ""0.12""}","Juncos|Las Piedras|Canóvanas|Gurabo","72077|72085|72029|72063","FALSE","FALSE","America/Puerto_Rico"
"00778","18.26339","-65.97936","Gurabo","PR","Puerto Rico","TRUE","","46707","608.4","72063","Gurabo","{""72063"": ""99.76"", ""72129"": ""0.24""}","Gurabo|San Lorenzo","72063|72129","FALSE","FALSE","America/Puerto_Rico"
"00780","18.10416","-66.57175","Coto Laurel","PR","Puerto Rico","TRUE","","11016","211.4","72113","Ponce","{""72113"": ""95.54"", ""72075"": ""4.46""}","Ponce|Juana Díaz","72113|72075","FALSE","FALSE","America/Puerto_Rico"
"00782","18.22544","-66.22218","Comerio","PR","Puerto Rico","TRUE","","17670","256.1","72045","Comerío","{""72045"": ""100""}","Comerío","72045","FALSE","FALSE","America/Puerto_Rico"
"00783","18.3041","-66.32847","Corozal","PR","Puerto Rico","TRUE","","32769","302.4","72047","Corozal","{""72047"": ""100""}","Corozal","72047","FALSE","FALSE","America/Puerto_Rico"
"00784","18.00544","-66.13392","Guayama","PR","Puerto Rico","TRUE","","39823","276.8","72057","Guayama","{""72057"": ""100""}","Guayama","72057","FALSE","FALSE","America/Puerto_Rico"
"00786","18.15536","-66.22992","La Plata","PR","Puerto Rico","TRUE","","360","540.3","72009","Aibonito","{""72009"": ""100""}","Aibonito","72009","FALSE","FALSE","America/Puerto_Rico"
"00791","18.14069","-65.818","Humacao","PR","Puerto Rico","TRUE","","48433","506.5","72069","Humacao","{""72069"": ""100""}","Humacao","72069","FALSE","FALSE","America/Puerto_Rico"
"00794","18.20154","-66.30873","Barranquitas","PR","Puerto Rico","TRUE","","28434","311.0","72019","Barranquitas","{""72019"": ""99.13"", ""72045"": ""0.59"", ""72043"": ""0.29""}","Barranquitas|Comerío|Coamo","72019|72045|72043","FALSE","FALSE","America/Puerto_Rico"
"00795","18.05932","-66.50178","Juana Diaz","PR","Puerto Rico","TRUE","","43873","366.2","72075","Juana Díaz","{""72075"": ""100""}","Juana Díaz","72075","FALSE","FALSE","America/Puerto_Rico"
"00801","18.34856","-64.97502","St Thomas","VI","Virgin Islands","TRUE","","","","78030","St. Thomas","{""78030"": 100}","St. Thomas","78030","FALSE","FALSE","America/St_Thomas"
"00802","18.34225","-64.92657","St Thomas","VI","Virgin Islands","TRUE","","","","78030","St. Thomas","{""78030"": 100}","St. Thomas","78030","FALSE","FALSE","America/St_Thomas"
"00820","17.74147","-64.687","Christiansted","VI","Virgin Islands","TRUE","","","","78010","St. Croix","{""78010"": 100}","St. Croix","78010","FALSE","FALSE","America/St_Thomas"
"00823","17.73281","-64.74653","Christiansted","VI","Virgin Islands","TRUE","","","","78010","St. Croix","{""78010"": 100}","St. Croix","78010","FALSE","FALSE","America/St_Thomas"
"00824","17.74461","-64.68276","Christiansted","VI","Virgin Islands","TRUE","","","","78010","St. Croix","{""78010"": 100}","St. Croix","78010","FALSE","FALSE","America/St_Thomas"
"00830","18.33851","-64.73804","St John","VI","Virgin Islands","TRUE","","","","78020","St. John","{""78020"": 100}","St. John","78020","FALSE","FALSE","America/St_Thomas"
"00831","18.32716","-64.78676","St John","VI","Virgin Islands","TRUE","","","","78020","St. John","{""78020"": 100}","St. John","78020","FALSE","FALSE","America/St_Thomas"
"00840","17.72484","-64.85931","Frederiksted","VI","Virgin Islands","TRUE","","","","78010","St. Croix","{""78010"": 100}","St. Croix","78010","FALSE","FALSE","America/St_Thomas"
"00841","17.73373","-64.83742","Frederiksted","VI","Virgin Islands","TRUE","","","","78010","St. Croix","{""78010"": 100}","St. Croix","78010","FALSE","FALSE","America/St_Thomas"
"00850","17.72819","-64.7939","Kingshill","VI","Virgin Islands","TRUE","","","","78010","St. Croix","{""78010"": 100}","St. Croix","78010","FALSE","FALSE","America/St_Thomas"
"00851","17.73267","-64.77158","Kingshill","VI","Virgin Islands","TRUE","","","","78010","St. Croix","{""78010"": 100}","St. Croix","78010","FALSE","FALSE","America/St_Thomas"
"00901","18.46532","-66.10485","San Juan","PR","Puerto Rico","TRUE","","6617","2609.6","72127","San Juan","{""72127"": ""100""}","San Juan","72127","FALSE","FALSE","America/Puerto_Rico"
"00906","18.46446","-66.09499","San Juan","PR","Puerto Rico","TRUE","","191","23159.9","72127","San Juan","{""72127"": ""100""}","San Juan","72127","FALSE","FALSE","America/Puerto_Rico"
"00907","18.45313","-66.07778","San Juan","PR","Puerto Rico","TRUE","","15151","4858.2","72127","San Juan","{""72127"": ""100""}","San Juan","72127","FALSE","FALSE","America/Puerto_Rico"
"00909","18.44153","-66.06723","San Juan","PR","Puerto Rico","TRUE","","4698","2971.6","72127","San Juan","{""72127"": ""100""}","San Juan","72127","FALSE","FALSE","America/Puerto_Rico"
"00911","18.45135","-66.05631","San Juan","PR","Puerto Rico","TRUE","","7089","5751.7","72127","San Juan","{""72127"": ""100""}","San Juan","72127","FALSE","FALSE","America/Puerto_Rico"
"00912","18.44534","-66.06018","San Juan","PR","Puerto Rico","TRUE","","5660","6558.7","72127","San Juan","{""72127"": ""100""}","San Juan","72127","FALSE","FALSE","America/Puerto_Rico"
"00913","18.45022","-66.04266","San Juan","PR","Puerto Rico","TRUE","","7890","9451.0","72127","San Juan","{""72127"": ""100""}","San Juan","72127","FALSE","FALSE","America/Puerto_Rico"
"00915","18.43691","-66.04562","San Juan","PR","Puerto Rico","TRUE","","24888","6880.9","72127","San Juan","{""72127"": ""100""}","San Juan","72127","FALSE","FALSE","America/Puerto_Rico"
"00917","18.4214","-66.05005","San Juan","PR","Puerto Rico","TRUE","","18196","5415.5","72127","San Juan","{""72127"": ""100""}","San Juan","72127","FALSE","FALSE","America/Puerto_Rico"
"00918","18.42138","-66.06589","San Juan","PR","Puerto Rico","TRUE","","15759","2856.5","72127","San Juan","{""72127"": ""100""}","San Juan","72127","FALSE","FALSE","America/Puerto_Rico"
"00920","18.41573","-66.08887","San Juan","PR","Puerto Rico","TRUE","","16281","2211.1","72127","San Juan","{""72127"": ""100""}","San Juan","72127","FALSE","FALSE","America/Puerto_Rico"
"00921","18.39225","-66.08854","San Juan","PR","Puerto Rico","TRUE","","31801","4593.3","72127","San Juan","{""72127"": ""100""}","San Juan","72127","FALSE","FALSE","America/Puerto_Rico"
"00923","18.40955","-66.03866","San Juan","PR","Puerto Rico","TRUE","","23851","4512.5","72127","San Juan","{""72127"": ""100""}","San Juan","72127","FALSE","FALSE","America/Puerto_Rico"
"00924","18.39826","-66.01288","San Juan","PR","Puerto Rico","TRUE","","48141","3960.6","72127","San Juan","{""72127"": ""95.86"", ""72031"": ""4.14""}","San Juan|Carolina","72127|72031","FALSE","FALSE","America/Puerto_Rico"
"00925","18.40033","-66.05053","San Juan","PR","Puerto Rico","TRUE","","6640","5733.6","72127","San Juan","{""72127"": ""100""}","San Juan","72127","FALSE","FALSE","America/Puerto_Rico"
"00926","18.3462","-66.05234","San Juan","PR","Puerto Rico","TRUE","","93330","1491.4","72127","San Juan","{""72127"": ""88.13"", ""72139"": ""11.47"", ""72061"": ""0.39""}","San Juan|Trujillo Alto|Guaynabo","72127|72139|72061","FALSE","FALSE","America/Puerto_Rico"
"00927","18.38874","-66.07191","San Juan","PR","Puerto Rico","TRUE","","13626","2002.1","72127","San Juan","{""72127"": ""100""}","San Juan","72127","FALSE","FALSE","America/Puerto_Rico"
"00934","18.41138","-66.124","Fort Buchanan","PR","Puerto Rico","TRUE","","109","56.2","72061","Guaynabo","{""72061"": ""57.99"", ""72021"": ""42.01""}","Guaynabo|Bayamón","72061|72021","FALSE","FALSE","America/Puerto_Rico"
"00936","18.39548","-66.07376","San Juan","PR","Puerto Rico","TRUE","","773","1849.5","72127","San Juan","{""72127"": ""100""}","San Juan","72127","FALSE","FALSE","America/Puerto_Rico"
"00949","18.43017","-66.20884","Toa Baja","PR","Puerto Rico","TRUE","","72943","1601.9","72137","Toa Baja","{""72137"": ""95.85"", ""72033"": ""4.15""}","Toa Baja|Cataño","72137|72033","FALSE","FALSE","America/Puerto_Rico"
"00950","18.46208","-66.2376","Toa Baja","PR","Puerto Rico","TRUE","","0","0.0","72051","Dorado","{""72051"": ""100""}","Dorado","72051","FALSE","FALSE","America/Puerto_Rico"
"00951","18.42839","-66.25661","Toa Baja","PR","Puerto Rico","TRUE","","0","0.0","72137","Toa Baja","{""72137"": ""100""}","Toa Baja","72137","FALSE","FALSE","America/Puerto_Rico"
"00952","18.42748","-66.18207","Sabana Seca","PR","Puerto Rico","TRUE","","7598","2370.7","72137","Toa Baja","{""72137"": ""100""}","Toa Baja","72137","FALSE","FALSE","America/Puerto_Rico"
"00953","18.36312","-66.2475","Toa Alta","PR","Puerto Rico","TRUE","","71174","1029.4","72135","Toa Alta","{""72135"": ""98.93"", ""72137"": ""0.87"", ""72047"": ""0.2""}","Toa Alta|Toa Baja|Corozal","72135|72137|72047","FALSE","FALSE","America/Puerto_Rico"
"00956","18.32082","-66.17175","Bayamon","PR","Puerto Rico","TRUE","","63264","922.7","72021","Bayamón","{""72021"": ""99.8"", ""72135"": ""0.2""}","Bayamón|Toa Alta","72021|72135","FALSE","FALSE","America/Puerto_Rico"
"00957","18.36734","-66.18869","Bayamon","PR","Puerto Rico","TRUE","","38198","3191.7","72021","Bayamón","{""72021"": ""97.07"", ""72135"": ""2.93""}","Bayamón|Toa Alta","72021|72135","FALSE","FALSE","America/Puerto_Rico"
